project,version,nme,soft_reuse,vers_soft,type_reuse,ID,ID_nu_1,filter_$
acornjs,acorn-8.1.0,acorn-benchmarks,acorn,*,dependencies,1,24,0
jsbin,jsbin-4.1.8,tern,acorn,0.x.x,dependencies,2,24,0
paperjs,paper.js-0.12.11,paper,acorn,0.x.x,devDependencies,3,24,0
aui,art-template-4.13.2,art-template,acorn,5.x.x,dependencies,4,24,0
yarnpkg,yarn-1.22.10, ,acorn,5.x.x,dependencies,5,24,0
adobe,brackets-release-1.14.2,brackets-src,acorn,5.x.x,dependencies,6,24,0
vuejs,vue-2.6.12,vue,acorn,5.x.x,devDependencies,7,24,0
jasmine,jasmine-3.6.0,jasmine-core,acorn,6.x.x,devDependencies,8,24,0
dcloudio,uni-app-2.0.0-31120210205001,rollup-plugin-require-,acorn,6.x.x,dependencies,9,24,0
skulpt,skulpt-1.3.0,skulpt,acorn,6.x.x,devDependencies,10,24,0
naptha,tesseract.js-2.1.4,tesseract.js,acorn,6.x.x,devDependencies,11,24,0
RocketChat,Rocket.Chat-3.12.0-rc.4,Rocket.Chat,acorn,6.x.x,devDependencies,12,24,0
gpujs,gpu.js-2.11.2,gpu.js,acorn,7.x.x,dependencies,13,24,0
mishoo,UglifyJS-3.13.0,uglify-js,acorn,7.x.x,devDependencies,14,24,0
eslint,eslint-7.21.0,eslint,acorn,7.x.x,devDependencies,15,24,0
angular,material-1.2.2,angular-material-sourc,acorn,7.x.x,dependencies,16,24,0
IdentityModel,oidc-client-js-1.11.5,oidc-client,acorn,7.x.x,dependencies,17,24,0
avajs,ava-3.15.0,ava,acorn,8.x.x,dependencies,18,24,0
GoogleChrome,workbox-6.1.1,workbox,acorn,8.x.x,devDependencies,19,24,0
jsdom,jsdom-16.5.0,jsdom,acorn,8.x.x,dependencies,20,24,0
mozilla,pdf.js-2.7.570,pdf.js,acorn,8.x.x,devDependencies,21,24,0
nodejs,node-15.10.0, ,acorn,8.x.x,devDependencies,22,24,0
sequelize,sequelize-6.5.0,sequelize,acorn,8.x.x,devDependencies,23,24,0
webpack,webpack-5.24.2,webpack,acorn,8.x.x,dependencies,24,24,0
egret-labs,egret-core-5.4.1, ,async,*,dependencies,25,43,0
jakiestfu,Snap.js-2.0.0-rc1,Snap.js,async,*,devDependencies,26,43,0
nwjs,nw.js-nw-v0.51.2,http-proxy@^1.8.1,async,*,devDependencies,27,43,0
jsbin,jsbin-4.1.8, ,async,0.x.x,dependencies,28,43,0
azat-co,practicalnode-1st-edition,hapi,async,0.x.x,dependencies,29,43,0
bower,bower-1.8.12,bower-registry-client,async,0.x.x,dependencies,30,43,0
jnordberg,gif.js-0.2.0,true,async,0.x.x,dependencies,31,43,0
liferay,alloy-ui-3.1.0-deprecated.79,surface,async,0.x.x,dependencies,32,43,0
louischatriot,nedb-1.6.0,nedb,async,0.x.x,dependencies,33,43,0
mozilla,thimble.mozilla.org-2.0.0,thimble,async,0.x.x,dependencies,34,43,0
nylas,nylas-mail-2.0.31,nylas-mail,async,0.x.x,dependencies,35,43,0
SAP,openui5-1.87.0,openui5,async,0.x.x,devDependencies,36,43,0
swagger-api,swagger-node-0.7.5,swagger,async,1.x.x,dependencies,37,43,0
meanjs,mean-0.4.2,meanjs,async,1.x.x,dependencies,38,43,0
serratus,quaggaJS-1.0.0-beta.2,quagga,async,1.x.x,devDependencies,39,43,0
jedireza,drywall-0.18.1,Drywall,async,1.x.x,dependencies,40,43,0
Automattic,wp-calypso-6.12.0-beta1,@automattic/webpack-rt,async,2.x.x,dependencies,41,43,0
brave,browser-laptop-0.27.3,brave,async,2.x.x,dependencies,42,43,0
elasticsearch-d,elasticsearch-dump-6.66.1,EvanTahler<evantahler@,async,2.x.x,dependencies,43,43,0
locutusjs,locutus-2.0.14,locutus,async,2.x.x,devDependencies,44,43,0
RocketChat,Rocket.Chat-3.12.0-rc.4, ,async,2.x.x,dependencies,45,43,0
yarnpkg,yarn-1.22.10, ,async,2.x.x,dependencies,46,43,0
adobe,brackets-release-1.14.2,Brackets,async,2.x.x,dependencies,47,43,0
angular-fullsta,generator-angular-fullstack-5,webpack.js.org,async,2.x.x,devDependencies,48,43,0
EFForg,https-everywhere-2021.1.27,hsts-prune,async,2.x.x,dependencies,49,43,0
jshint,jshint-relicensing-2020,jshint,async,2.x.x,devDependencies,50,43,0
stealjs,steal-2.2.4,steal,async,2.x.x,devDependencies,51,43,0
arkime,arkime-2.7.1,moloch,async,2.x.x,dependencies,52,43,0
Azure,azure-sdk-for-node-2.2.0-prev,ms-rest-azure,async,2.x.x,dependencies,53,43,0
clientIO,joint-3.3.1,jointjs,async,2.x.x,devDependencies,54,43,0
keystonejs,keystone-classic-4.2.1,keystone,async,2.x.x,dependencies,55,43,0
lodash,lodash-4.17.21,lodash,async,2.x.x,devDependencies,56,43,0
rwaldron,johnny-five-2.0.0,johnny-five,async,2.x.x,devDependencies,57,43,0
strapi,strapi-3.5.1,strapi-generate,async,2.x.x,dependencies,58,43,0
atom,atom-1.55.0-beta0,atom,async,3.x.x,dependencies,59,43,0
Countly,countly-server-21.11.1,countly-server,async,3.x.x,dependencies,60,43,0
haraka,Haraka-2.8.27,MattSergeant<helpme@gm,async,3.x.x,dependencies,61,43,0
lovell,sharp-0.27.2,sharp-benchmark,async,3.x.x,devDependencies,62,43,0
NodeBB,NodeBB-1.17.0-beta.0,nodebb,async,3.x.x,dependencies,63,43,0
nodejs,node-15.10.0,iconv-lite,async,3.x.x,devDependencies,64,43,0
npm,cli-7.6.2,iconv-lite,async,3.x.x,devDependencies,65,43,0
oracle,node-oracledb-5.1.0,oracledb,async,3.x.x,devDependencies,66,43,0
quasarframework,quasar-quasar-v2.0.0-beta.9,@quasar/cli,async,3.x.x,dependencies,67,43,0
formio,formio.js-4.13.0-rc.16,bootswatch,autoprefixer,10.x.x,dependencies,68,51,0
mui-org,material-ui-5.0.0-alpha.26,docs,autoprefixer,10.x.x,dependencies,69,51,0
openstreetmap,iD-2.19.6,iD,autoprefixer,10.x.x,devDependencies,70,51,0
sampotts,plyr-3.6.3,plyr,autoprefixer,10.x.x,devDependencies,71,51,0
jaredpalmer,razzle-4.0.1-canary.10,razzle-plugin-scss,autoprefixer,10.x.x,dependencies,72,51,0
keeweb,keeweb-1.17.1,keeweb,autoprefixer,10.x.x,dependencies,73,51,0
mozilla,pdf.js-2.7.570,pdf.js,autoprefixer,10.x.x,devDependencies,74,51,0
NodeBB,NodeBB-1.17.0-beta.0,nodebb,autoprefixer,10.x.x,dependencies,75,51,0
twbs,bootstrap-5.0.0-beta2,bootstrap,autoprefixer,10.x.x,devDependencies,76,51,0
angular-fullsta,generator-angular-fullstack-5,webpack.js.org,autoprefixer,6.x.x,devDependencies,77,51,0
clauderic,react-sortable-hoc-1.11.0,react-sortable-hoc,autoprefixer,6.x.x,devDependencies,78,51,0
kriasoft,react-firebase-starter-1.0.0,app,autoprefixer,6.x.x,devDependencies,79,51,0
needim,noty-3.2.0-beta,noty,autoprefixer,6.x.x,devDependencies,80,51,0
ElemeFE,vue-amap-0.1.6,vue-amap,autoprefixer,6.x.x,devDependencies,81,51,0
Tencent,weui.js-1.2.1,weui.js,autoprefixer,6.x.x,devDependencies,82,51,0
benweet,stackedit-5.14.5,stackedit,autoprefixer,6.x.x,devDependencies,83,51,0
kazupon,vue-i18n-8.24.0,vue-i18n-ssr,autoprefixer,6.x.x,devDependencies,84,51,0
shentao,vue-multiselect-2.1.3,vue-multiselect,autoprefixer,6.x.x,devDependencies,85,51,0
carbon-design-s,carbon-10.30.0,create-react-app,autoprefixer,7.x.x,dependencies,86,51,0
didi,cube-ui-1.12.38,cube-ui,autoprefixer,7.x.x,devDependencies,87,51,0
Dogfalo,materialize-1.0.0,materialize-css,autoprefixer,7.x.x,dependencies,88,51,0
webslides,WebSlides-1.5.0,webslides,autoprefixer,7.x.x,devDependencies,89,51,0
webpack,webpack.js.org-4.41.2,webpack.js.org,autoprefixer,7.x.x,devDependencies,90,51,0
frappe,charts-1.5.8,frappe-charts,autoprefixer,8.x.x,devDependencies,91,51,0
PanJiaChen,vue-admin-template-3.9.0,vue-admin-template,autoprefixer,8.x.x,devDependencies,92,51,0
dcloudio,uni-app-2.0.0-31120210205001,@intervolga/optimize-c,autoprefixer,8.x.x,devDependencies,93,51,0
swagger-api,swagger-ui-3.44.0,swagger-ui,autoprefixer,9.x.x,devDependencies,94,51,0
telerik,kendo-ui-core-2021.1.224,kendo-ui-core,autoprefixer,9.x.x,dependencies,95,51,0
bitshares,bitshares-ui-5.0.210216-rc2,BitShares2-light,autoprefixer,9.x.x,devDependencies,96,51,0
osano,cookieconsent-3.1.1,cookieconsent,autoprefixer,9.x.x,devDependencies,97,51,0
pqina,filepond-4.25.2,filepond,autoprefixer,9.x.x,devDependencies,98,51,0
videojs,video.js-7.11.5,video.js,autoprefixer,9.x.x,devDependencies,99,51,0
Automattic,wp-calypso-6.12.0-beta1,calypso,autoprefixer,9.x.x,devDependencies,100,51,0
invertase,react-native-firebase-11.0.0,react-native-firebase-,autoprefixer,9.x.x,dependencies,101,51,0
NervJS,taro-3.2.0-canary.9,@tarojs/webpack-runner,autoprefixer,9.x.x,dependencies,102,51,0
shipshapecode,tether-2.0.0-beta.5,tether,autoprefixer,9.x.x,devDependencies,103,51,0
snapappointment,bootstrap-select-1.14.0-beta,bootstrap-select,autoprefixer,9.x.x,devDependencies,104,51,0
summernote,summernote-latest,summernote,autoprefixer,9.x.x,devDependencies,105,51,0
transloadit,uppy-uppy-1.26.0,TRUE,autoprefixer,9.x.x,devDependencies,106,51,0
ueberdosis,tiptap-tiptap-1.32.1,tiptap-packages,autoprefixer,9.x.x,devDependencies,107,51,0
angular,material-1.2.2,angular-material-sourc,autoprefixer,9.x.x,dependencies,108,51,0
arkime,arkime-2.7.1,moloch,autoprefixer,9.x.x,devDependencies,109,51,0
conversejs,converse.js-7.0.4,converse.js,autoprefixer,9.x.x,devDependencies,110,51,0
kevinchappell,formBuilder-3.6.2,formBuilder,autoprefixer,9.x.x,devDependencies,111,51,0
mochajs,mocha-8.3.0,mocha,autoprefixer,9.x.x,devDependencies,112,51,0
OnsenUI,OnsenUI-2.11.2,onsenui,autoprefixer,9.x.x,devDependencies,113,51,0
quasarframework,quasar-quasar-v2.0.0-beta.9,@quasar/app,autoprefixer,9.x.x,dependencies,114,51,0
RocketChat,Rocket.Chat-3.12.0-rc.4,Rocket.Chat,autoprefixer,9.x.x,devDependencies,115,51,0
Shopify,draggable-1.0.0-beta.12,draggable-examples,autoprefixer,9.x.x,devDependencies,116,51,0
strapi,strapi-3.5.1,strapi-admin,autoprefixer,9.x.x,dependencies,117,51,0
TryGhost,Admin-4.0.0-rc.0,ghost-admin,autoprefixer,9.x.x,devDependencies,118,51,0
nwjs,nw.js-nw-v0.51.2,issue5980-aws-sdk-embe,aws-sdk,*,dependencies,119,18,0
azat-co,practicalnode-1st-edition,handlebars,aws-sdk,1.x.x,devDependencies,120,18,0
jsbin,jsbin-4.1.8, ,aws-sdk,2.x.x,dependencies,121,18,0
benweet,stackedit-5.14.5,stackedit,aws-sdk,2.x.x,dependencies,122,18,0
nodegit,nodegit-0.27.0,nodegit,aws-sdk,2.x.x,devDependencies,123,18,0
async-labs,builderbook-2.0.0,builderbook,aws-sdk,2.x.x,dependencies,124,18,0
atom,atom-1.55.0-beta0,atom-release-scripts,aws-sdk,2.x.x,dependencies,125,18,0
CesiumGS,cesium-1.78,cesium,aws-sdk,2.x.x,devDependencies,126,18,0
laurent22,joplin-1.7.11,@joplin/lib,aws-sdk,2.x.x,dependencies,127,18,0
emberjs,ember.js-3.26.0-beta.2,ember-source,aws-sdk,2.x.x,devDependencies,128,18,0
elasticsearch-d,elasticsearch-dump-6.66.1,EvanTahler<evantahler@,aws-sdk,2.x.x,dependencies,129,18,0
RocketChat,Rocket.Chat-3.12.0-rc.4,Rocket.Chat,aws-sdk,2.x.x,dependencies,130,18,0
sampotts,plyr-3.6.3,plyr,aws-sdk,2.x.x,devDependencies,131,18,0
strapi,strapi-3.5.1,strapi-provider-upload,aws-sdk,2.x.x,dependencies,132,18,0
transloadit,uppy-uppy-1.26.0,@uppy/companion,aws-sdk,2.x.x,dependencies,133,18,0
cube-js,cube.js-0.26.52,auth0,aws-sdk,2.x.x,dependencies,134,18,0
highcharts,highcharts-9.0.1,highcharts,aws-sdk,2.x.x,devDependencies,135,18,0
outline,outline-0.53.1,outline,aws-sdk,2.x.x,dependencies,136,18,0
shen100,mili-0.6,golang123-pc,axios,0.x.x,dependencies,137,19,0
transcranial,keras-js-0.3.0,keras-js,axios,0.x.x,dependencies,138,19,0
PanJiaChen,vue-admin-template-3.9.0,vue-admin-template,axios,0.x.x,dependencies,139,19,0
alibaba,rax-1.2.0,TRUE,axios,0.x.x,devDependencies,140,19,0
arkime,arkime-2.7.1,WISE,axios,0.x.x,dependencies,141,19,0
microsoft,botframework-sdk-4.12.0,support-tracker-functi,axios,0.x.x,dependencies,142,19,0
vuejs,vue-router-3.5.1,vue-router,axios,0.x.x,devDependencies,143,19,0
netlify,netlify-cms-netlify-cms-2.10., ,axios,0.x.x,devDependencies,144,19,0
Binaryify,NeteaseCloudMusicApi-4.0.8,NeteaseCloudMusicApi,axios,0.x.x,dependencies,145,19,0
carbon-app,carbon-4.7.31,carbon,axios,0.x.x,dependencies,146,19,0
ChainSafe,web3.js-1.3.4,web3-eth2-core,axios,0.x.x,dependencies,147,19,0
cube-js,cube.js-0.26.52,@cubejs-backend/dremio,axios,0.x.x,dependencies,148,19,0
EFForg,https-everywhere-2021.1.27,https-everywhere-label,axios,0.x.x,dependencies,149,19,0
HabitRPG,habitica-4.183.0,habitica-client,axios,0.x.x,dependencies,150,19,0
jaredpalmer,razzle-4.0.1-canary.10,my-razzle-app,axios,0.x.x,dependencies,151,19,0
ml5js,ml5-library-0.6.1,ml5,axios,0.x.x,dependencies,152,19,0
qier222,YesPlayMusic-0.3.4,NeteaseCloudMusicApi,axios,0.x.x,dependencies,153,19,0
sendgrid,sendgrid-nodejs-7.4.3,@sendgrid/client,axios,0.x.x,dependencies,154,19,0
strapi,strapi-3.5.1,strapi-admin,axios,0.x.x,dependencies,155,19,0
novnc,noVNC-1.2.0,@novnc/novnc,babel,*,devDependencies,156,1157,1
novnc,noVNC-1.2.0,@novnc/novnc,babel,*,devDependencies,157,1157,1
babel,babel-7.13.8,@babel/standalone,babel,*,devDependencies,158,1157,1
babel,babel-7.13.8,@babel/standalone,babel,*,devDependencies,159,1157,1
babel,babel-7.13.8,@babel/standalone,babel,*,devDependencies,160,1157,1
novnc,noVNC-1.2.0,@novnc/novnc,babel,*,devDependencies,161,1157,1
babel,babel-7.13.8,@babel/register,babel,*,devDependencies,162,1157,1
novnc,noVNC-1.2.0,@novnc/novnc,babel,*,devDependencies,163,1157,1
babel,babel-7.13.8,@babel/standalone,babel,*,devDependencies,164,1157,1
novnc,noVNC-1.2.0,@novnc/novnc,babel,*,devDependencies,165,1157,1
angular-fullsta,generator-angular-fullstack-5,webpack.js.org,babel,0.x.x,devDependencies,166,1157,1
localForage,localForage-1.9.0,localforage,babel,0.x.x,devDependencies,167,1157,1
serratus,quaggaJS-1.0.0-beta.2,quagga,babel,0.x.x,devDependencies,168,1157,1
dcloudio,uni-app-2.0.0-31120210205001,postcss-selector-parse,babel,0.x.x,devDependencies,169,1157,1
caolan,async-3.2.0,async,babel,0.x.x,dependencies,170,1157,1
didi,cube-ui-1.12.38,cube-ui,babel,0.x.x,devDependencies,171,1157,1
hustcc,canvas-nest.js-2.0.1,canvas-nest.js,babel,0.x.x,devDependencies,172,1157,1
IdentityModel,oidc-client-js-1.11.5,oidc-client,babel,0.x.x,devDependencies,173,1157,1
locutusjs,locutus-2.0.14,locutus,babel,0.x.x,devDependencies,174,1157,1
needim,noty-3.2.0-beta,noty,babel,0.x.x,devDependencies,175,1157,1
nodejs,node-15.10.0,tiny-relative-date,babel,0.x.x,devDependencies,176,1157,1
npm,cli-7.6.2,tiny-relative-date,babel,0.x.x,devDependencies,177,1157,1
reactjs,react-modal-3.12.1,react-modal,babel,0.x.x,devDependencies,178,1157,1
Tencent,weui.js-1.2.1,weui.js,babel,0.x.x,devDependencies,179,1157,1
zalmoxisus,redux-devtools-extension-2.17,2.17.1,babel,0.x.x,devDependencies,180,1157,1
zloirock,core-js-3.9.1,3.9.1,babel,0.x.x,devDependencies,181,1157,1
validatorjs,validator.js-13.5.2,validator,babel,0.x.x,devDependencies,182,1157,1
date-fns,date-fns-2.19.0,date-fns,babel,1.x.x,dependencies,183,1157,1
enzymejs,enzyme-enzyme-adapter-react-1,enzyme-adapter-react-h,babel,1.x.x,devDependencies,184,1157,1
oliver-moran,jimp-0.16.1,@jimp/monorepo,babel,1.x.x,devDependencies,185,1157,1
brave,browser-laptop-0.27.3,brave,babel,1.x.x,devDependencies,186,1157,1
didi,cube-ui-1.12.38,cube-ui,babel,1.x.x,devDependencies,187,1157,1
olifolkerd,tabulator-4.9.3,tabulator-tables,babel,1.x.x,devDependencies,188,1157,1
transcranial,keras-js-0.3.0,keras-js,babel,1.x.x,devDependencies,189,1157,1
kazupon,vue-i18n-8.24.0,vue-i18n-storybook,babel,1.x.x,devDependencies,190,1157,1
reactjs,react-modal-3.12.1,react-modal,babel,1.x.x,devDependencies,191,1157,1
arkime,arkime-2.7.1,moloch,babel,1.x.x,devDependencies,192,1157,1
async-labs,builderbook-2.0.0,tutorial-4-start,babel,1.x.x,devDependencies,193,1157,1
bitshares,bitshares-ui-5.0.210216-rc2,BitShares2-light,babel,1.x.x,devDependencies,194,1157,1
bpmn-io,bpmn-js-examples-8.2.1,bpmn-js-example-commen,babel,1.x.x,devDependencies,195,1157,1
cezerin,cezerin-0.33.0,cezerin,babel,1.x.x,dependencies,196,1157,1
dcloudio,uni-app-2.0.0-31120210205001,vue-loader,babel,1.x.x,devDependencies,197,1157,1
formio,formio.js-4.13.0-rc.16,formiojs,babel,1.x.x,devDependencies,198,1157,1
glidejs,glide-3.4.1,@glidejs/glide,babel,1.x.x,devDependencies,199,1157,1
hustcc,canvas-nest.js-2.0.1,canvas-nest.js,babel,1.x.x,devDependencies,200,1157,1
ml5js,ml5-library-0.6.1,ml5,babel,1.x.x,devDependencies,201,1157,1
reactide,reactide-3.0-beta, ,babel,1.x.x,devDependencies,202,1157,1
text-mask,text-mask-vue-v6.1.2,text-mask-all,babel,1.x.x,devDependencies,203,1157,1
trufflesuite,truffle-5.2.3,@truffle/compile-solid,babel,1.x.x,devDependencies,204,1157,1
typicode,lowdb-1.0.0,lowdb,babel,1.x.x,devDependencies,205,1157,1
vuejs,vue-router-3.5.1,vue-router,babel,1.x.x,devDependencies,206,1157,1
webpack,webpack.js.org-4.41.2,webpack.js.org,babel,1.x.x,devDependencies,207,1157,1
webslides,WebSlides-1.5.0,webslides,babel,1.x.x,devDependencies,208,1157,1
yarnpkg,yarn-1.22.10,TRUE,babel,1.x.x,dependencies,209,1157,1
aui,art-template-4.13.2,art-template,babel,1.x.x,devDependencies,210,1157,1
benweet,stackedit-5.14.5,stackedit,babel,1.x.x,devDependencies,211,1157,1
Dash-Industry-F,dash.js-3.2.1,dashjs,babel,1.x.x,devDependencies,212,1157,1
dataarts,dat.gui-0.7.7,dat.gui,babel,1.x.x,devDependencies,213,1157,1
eKoopmans,html2pdf.js-0.9.2,html2pdf.js,babel,1.x.x,devDependencies,214,1157,1
feathericons,feather-4.28.0,feather-icons,babel,1.x.x,devDependencies,215,1157,1
frappe,charts-1.5.8,frappe-charts,babel,1.x.x,devDependencies,216,1157,1
google,shaka-player-3.0.8,shaka-player,babel,1.x.x,devDependencies,217,1157,1
julianshapiro,velocity-2.0.6,velocity-animate,babel,1.x.x,devDependencies,218,1157,1
nodejs,node-15.10.0, ,babel,1.x.x,devDependencies,219,1157,1
OnsenUI,OnsenUI-2.11.2,onsenui,babel,1.x.x,devDependencies,220,1157,1
PanJiaChen,vue-admin-template-3.9.0,vue-admin-template,babel,1.x.x,devDependencies,221,1157,1
parcel-bundler,parcel-2.0.0-beta.1,parcel-bundler,babel,1.x.x,devDependencies,222,1157,1
VerbalExpressio,JSVerbalExpressions-1.0.2,verbal-expressions,babel,1.x.x,devDependencies,223,1157,1
xiangyuecn,Recorder-1.1.21021500,recorder-vue-demo,babel,1.x.x,dependencies,224,1157,1
zenorocha,clipboard.js-2.0.6,clipboard,babel,1.x.x,devDependencies,225,1157,1
strapi,strapi-3.5.1,true,babel,1.x.x,dependencies,226,1157,1
alibaba,rax-1.2.0,@rax-materials/scaffol,babel,10.x.x,devDependencies,227,1157,1
apexcharts,apexcharts.js-3.23.1,apexcharts,babel,10.x.x,devDependencies,228,1157,1
arkime,arkime-2.7.1,moloch,babel,10.x.x,devDependencies,229,1157,1
async-labs,builderbook-2.0.0,7-begin,babel,10.x.x,devDependencies,230,1157,1
cube-js,cube.js-0.26.52,dashboard-app,babel,10.x.x,dependencies,231,1157,1
date-fns,date-fns-2.19.0,date-fns,babel,10.x.x,dependencies,232,1157,1
facebook,react-17.0.1,flight,babel,10.x.x,dependencies,233,1157,1
Hacker0x01,react-datepicker-3.6.0,HackerOne,babel,10.x.x,devDependencies,234,1157,1
i18next,i18next-19.9.2,i18next,babel,10.x.x,devDependencies,235,1157,1
kamranahmedse,driver.js-0.9.2,driver.js,babel,10.x.x,devDependencies,236,1157,1
laurent22,joplin-1.7.11,joplin-webclipper-popu,babel,10.x.x,dependencies,237,1157,1
mapbox,mapbox-gl-js-2.1.1,mapbox-gl,babel,10.x.x,devDependencies,238,1157,1
NervJS,taro-3.2.0-canary.9,taro,babel,10.x.x,devDependencies,239,1157,1
npm,cli-7.6.2,diff,babel,10.x.x,devDependencies,240,1157,1
oliver-moran,jimp-0.16.1,@jimp/monorepo,babel,10.x.x,devDependencies,241,1157,1
parcel-bundler,parcel-2.0.0-beta.1,@parcel/eslint-plugin,babel,10.x.x,devDependencies,242,1157,1
paularmstrong,normalizr-3.6.1,normalizr,babel,10.x.x,devDependencies,243,1157,1
quasarframework,quasar-quasar-v2.0.0-beta.9,quasar,babel,10.x.x,devDependencies,244,1157,1
reactioncommerc,reaction-3.11.1,reaction-api,babel,10.x.x,devDependencies,245,1157,1
responsively-or,responsively-app-0.15.0,Responsively-App,babel,10.x.x,devDependencies,246,1157,1
securingsincity,react-ace-9.3.0,react-ace,babel,10.x.x,devDependencies,247,1157,1
software-mansio,react-native-reanimated-2.0.0,react-native-reanimate,babel,10.x.x,devDependencies,248,1157,1
svgdotjs,svg.js-3.0.16,@svgdotjs/svg.js,babel,10.x.x,devDependencies,249,1157,1
swagger-api,swagger-ui-3.44.0,swagger-ui,babel,10.x.x,devDependencies,250,1157,1
ueberdosis,tiptap-tiptap-1.32.1,tiptap-packages,babel,10.x.x,devDependencies,251,1157,1
validatorjs,validator.js-13.5.2,validator,babel,10.x.x,devDependencies,252,1157,1
vuejs,vue-router-3.5.1,vue-router,babel,10.x.x,devDependencies,253,1157,1
carbon-app,carbon-4.7.31,carbon,babel,10.x.x,devDependencies,254,1157,1
cockpit-project,cockpit-239,CockpitDevelopmentDepe,babel,10.x.x,devDependencies,255,1157,1
conversejs,converse.js-7.0.4,converse.js,babel,10.x.x,devDependencies,256,1157,1
electron-react-,electron-react-boilerplate-2.,electron-react-boilerp,babel,10.x.x,devDependencies,257,1157,1
ember-cli,ember-cli-3.26.0-beta.0,foo,babel,10.x.x,devDependencies,258,1157,1
emberjs,data-3.27.0-alpha.0,root,babel,10.x.x,devDependencies,259,1157,1
enzymejs,enzyme-enzyme-adapter-react-1,enzyme-adapter-react-1,babel,10.x.x,devDependencies,260,1157,1
formio,formio.js-4.13.0-rc.16,formiojs,babel,10.x.x,devDependencies,261,1157,1
graphql,graphql-js-15.5.0,graphql,babel,10.x.x,devDependencies,262,1157,1
grommet,grommet-2.16.3,grommet,babel,10.x.x,devDependencies,263,1157,1
HabitRPG,habitica-4.183.0,habitica-client,babel,10.x.x,dependencies,264,1157,1
ipfs,js-ipfs-ipfs-0.54.3,example-browser-vue,babel,10.x.x,devDependencies,265,1157,1
jaredpalmer,razzle-4.0.1-canary.10,razzle-examples-with-e,babel,10.x.x,devDependencies,266,1157,1
KaTeX,KaTeX-0.13.0,katex,babel,10.x.x,devDependencies,267,1157,1
keeweb,keeweb-1.17.1,keeweb,babel,10.x.x,dependencies,268,1157,1
kevinchappell,formBuilder-3.6.2,formBuilder,babel,10.x.x,devDependencies,269,1157,1
krisk,Fuse-6.4.6,fuse.js,babel,10.x.x,devDependencies,270,1157,1
mochajs,mocha-8.3.0,mocha,babel,10.x.x,devDependencies,271,1157,1
nodejs,node-15.10.0,uuid,babel,10.x.x,devDependencies,272,1157,1
openpgpjs,openpgpjs-5.0.0-1,openpgp,babel,10.x.x,devDependencies,273,1157,1
outline,outline-0.53.1,outline,babel,10.x.x,devDependencies,274,1157,1
parse-community,Parse-SDK-JS-3.1.0,parse,babel,10.x.x,devDependencies,275,1157,1
playcanvas,engine-1.39.4,playcanvas,babel,10.x.x,devDependencies,276,1157,1
qier222,YesPlayMusic-0.3.4,YesPlayMusic,babel,10.x.x,devDependencies,277,1157,1
react-grid-layo,react-grid-layout-1.2.2,react-grid-layout,babel,10.x.x,devDependencies,278,1157,1
RitaBot-Project,RitaBot-1.2.1,ritabot,babel,10.x.x,devDependencies,279,1157,1
RocketChat,Rocket.Chat-3.12.0-rc.4,Rocket.Chat,babel,10.x.x,devDependencies,280,1157,1
sampotts,plyr-3.6.3,plyr,babel,10.x.x,devDependencies,281,1157,1
single-spa,single-spa-5.9.2,single-spa,babel,10.x.x,dependencies,282,1157,1
standard,standard-16.0.3,standard,babel,10.x.x,devDependencies,283,1157,1
summernote,summernote-latest,summernote,babel,10.x.x,devDependencies,284,1157,1
TryGhost,Admin-4.0.0-rc.0,ghost-admin,babel,10.x.x,devDependencies,285,1157,1
uuidjs,uuid-8.3.2,uuid,babel,10.x.x,devDependencies,286,1157,1
webtorrent,webtorrent-desktop-0.24.0,webtorrent-desktop,babel,10.x.x,devDependencies,287,1157,1
wulkano,Kap-3.3.2,kap,babel,10.x.x,devDependencies,288,1157,1
ReactTraining,history-5.0.0,TRUE,babel,10.x.x,dependencies,289,1157,1
handsontable,handsontable-8.3.1,handsontable,babel,10.x.x,devDependencies,290,1157,1
netlify,netlify-cms-netlify-cms-2.10., ,babel,11.x.x,devDependencies,291,1157,1
carbon-design-s,carbon-10.30.0,create-react-app,babel,20.x.x,dependencies,292,1157,1
typicode,lowdb-1.0.0,lowdb,babel,20.x.x,devDependencies,293,1157,1
benweet,stackedit-5.14.5,stackedit,babel,21.x.x,devDependencies,294,1157,1
webslides,WebSlides-1.5.0,webslides,babel,21.x.x,devDependencies,295,1157,1
shentao,vue-multiselect-2.1.3,vue-multiselect,babel,22.x.x,devDependencies,296,1157,1
dcloudio,uni-app-2.0.0-31120210205001,vue-style-loader,babel,22.x.x,devDependencies,297,1157,1
glidejs,glide-3.4.1,@glidejs/glide,babel,22.x.x,devDependencies,298,1157,1
hustcc,canvas-nest.js-2.0.1,canvas-nest.js,babel,22.x.x,devDependencies,299,1157,1
Shopify,draggable-1.0.0-beta.12,@shopify/draggable,babel,23.x.x,devDependencies,300,1157,1
alibaba,rax-1.2.0,TRUE,babel,23.x.x,devDependencies,301,1157,1
bitshares,bitshares-ui-5.0.210216-rc2,BitShares2-light,babel,24.x.x,devDependencies,302,1157,1
grommet,grommet-2.16.3,grommet,babel,24.x.x,devDependencies,303,1157,1
pqina,filepond-4.25.2,filepond,babel,24.x.x,devDependencies,304,1157,1
facebook,react-17.0.1,flight,babel,24.x.x,dependencies,305,1157,1
foliojs,pdfkit-0.11.0,pdfkit,babel,24.x.x,devDependencies,306,1157,1
