appwrite,appwrite-0.7.0,appwrite/server-ce,appwrite/sdk-generator,0.5.3,require-dev
appwrite,appwrite-0.7.0,appwrite/server-ce,phpunit/phpunit,9.4.2,require-dev
appwrite,appwrite-0.7.0,appwrite/server-ce,swoole/ide-helper,4.5.5,require-dev
appwrite,appwrite-0.7.0,appwrite/server-ce,vimeo/psalm,4.1.1,require-dev
appwrite,appwrite-0.7.0,appwrite/server-ce,php,>=7.4.0,require
appwrite,appwrite-0.7.0,appwrite/server-ce,ext-curl,*,require
appwrite,appwrite-0.7.0,appwrite/server-ce,ext-imagick,*,require
appwrite,appwrite-0.7.0,appwrite/server-ce,ext-mbstring,*,require
appwrite,appwrite-0.7.0,appwrite/server-ce,ext-json,*,require
appwrite,appwrite-0.7.0,appwrite/server-ce,ext-yaml,*,require
appwrite,appwrite-0.7.0,appwrite/server-ce,ext-dom,*,require
appwrite,appwrite-0.7.0,appwrite/server-ce,ext-redis,*,require
appwrite,appwrite-0.7.0,appwrite/server-ce,ext-swoole,*,require
appwrite,appwrite-0.7.0,appwrite/server-ce,ext-pdo,*,require
appwrite,appwrite-0.7.0,appwrite/server-ce,ext-openssl,*,require
appwrite,appwrite-0.7.0,appwrite/server-ce,ext-zlib,*,require
appwrite,appwrite-0.7.0,appwrite/server-ce,ext-sockets,*,require
appwrite,appwrite-0.7.0,appwrite/server-ce,appwrite/php-clamav,1.0.*,require
appwrite,appwrite-0.7.0,appwrite/server-ce,utopia-php/framework,0.10.0,require
appwrite,appwrite-0.7.0,appwrite/server-ce,utopia-php/abuse,0.3.*,require
appwrite,appwrite-0.7.0,appwrite/server-ce,utopia-php/analytics,0.1.*,require
appwrite,appwrite-0.7.0,appwrite/server-ce,utopia-php/audit,0.5.*,require
appwrite,appwrite-0.7.0,appwrite/server-ce,utopia-php/cache,0.2.*,require
appwrite,appwrite-0.7.0,appwrite/server-ce,utopia-php/cli,0.9.0,require
appwrite,appwrite-0.7.0,appwrite/server-ce,utopia-php/config,0.2.*,require
appwrite,appwrite-0.7.0,appwrite/server-ce,utopia-php/locale,0.3.*,require
appwrite,appwrite-0.7.0,appwrite/server-ce,utopia-php/registry,0.2.*,require
appwrite,appwrite-0.7.0,appwrite/server-ce,utopia-php/preloader,0.2.*,require
appwrite,appwrite-0.7.0,appwrite/server-ce,utopia-php/domains,0.2.*,require
appwrite,appwrite-0.7.0,appwrite/server-ce,utopia-php/swoole,0.2.*,require
appwrite,appwrite-0.7.0,appwrite/server-ce,utopia-php/system,0.4.*,require
appwrite,appwrite-0.7.0,appwrite/server-ce,utopia-php/storage,0.2.*,require
appwrite,appwrite-0.7.0,appwrite/server-ce,resque/php-resque,1.3.6,require
appwrite,appwrite-0.7.0,appwrite/server-ce,matomo/device-detector,3.13.0,require
appwrite,appwrite-0.7.0,appwrite/server-ce,dragonmantank/cron-expression,3.0.1,require
appwrite,appwrite-0.7.0,appwrite/server-ce,domnikl/statsd,3.0.2,require
appwrite,appwrite-0.7.0,appwrite/server-ce,influxdb/influxdb-php,1.15.1,require
appwrite,appwrite-0.7.0,appwrite/server-ce,phpmailer/phpmailer,6.1.7,require
appwrite,appwrite-0.7.0,appwrite/server-ce,chillerlan/php-qrcode,4.3.0,require
appwrite,appwrite-0.7.0,appwrite/server-ce,adhocore/jwt,1.1.0,require
appwrite,appwrite-0.7.0,appwrite/server-ce,appwrite/sdk-generator,0.5.3,require
appwrite,appwrite-0.7.0,appwrite/server-ce,phpunit/phpunit,9.4.2,require
appwrite,appwrite-0.7.0,appwrite/server-ce,swoole/ide-helper,4.5.5,require
appwrite,appwrite-0.7.0,appwrite/server-ce,vimeo/psalm,4.1.1,require
appwrite,appwrite-0.7.0,appwrite/cloud-function-demo,php,>=7.4.0,require
appwrite,appwrite-0.7.0,appwrite/cloud-function-demo,ext-curl,*,require
appwrite,appwrite-0.7.0,appwrite/cloud-function-demo,ext-json,*,require
appwrite,appwrite-0.7.0,appwrite/cloud-function-demo,appwrite/appwrite,1.1.*,require
