wulkano,Kap-3.3.2,kap,ava,^3.9.0,devDependencies
wulkano,Kap-3.3.2,kap,babel-eslint,^10.1.0,devDependencies
wulkano,Kap-3.3.2,kap,electron,8.2.4,devDependencies
wulkano,Kap-3.3.2,kap,electron-builder,^22.6.0,devDependencies
wulkano,Kap-3.3.2,kap,electron-builder-notarize,^1.1.2,devDependencies
wulkano,Kap-3.3.2,kap,eslint-config-xo-react,^0.23.0,devDependencies
wulkano,Kap-3.3.2,kap,eslint-plugin-react,^7.19.0,devDependencies
wulkano,Kap-3.3.2,kap,eslint-plugin-react-hooks,^3.0.0,devDependencies
wulkano,Kap-3.3.2,kap,husky,^4.2.5,devDependencies
wulkano,Kap-3.3.2,kap,module-alias,^2.2.2,devDependencies
wulkano,Kap-3.3.2,kap,next,^9.3.6,devDependencies
wulkano,Kap-3.3.2,kap,sinon,^9.0.2,devDependencies
wulkano,Kap-3.3.2,kap,unique-string,^2.0.0,devDependencies
wulkano,Kap-3.3.2,kap,xo,^0.30.0,devDependencies
wulkano,Kap-3.3.2,kap,@ffmpeg-installer/ffmpeg,^1.0.20,dependencies
wulkano,Kap-3.3.2,kap,@sentry/browser,^5.15.5,dependencies
wulkano,Kap-3.3.2,kap,@sentry/electron,^1.3.0,dependencies
wulkano,Kap-3.3.2,kap,@sindresorhus/to-milliseconds,^1.2.0,dependencies
wulkano,Kap-3.3.2,kap,ajv,^6.12.2,dependencies
wulkano,Kap-3.3.2,kap,aperture,^5.2.0,dependencies
wulkano,Kap-3.3.2,kap,base64-img,^1.0.4,dependencies
wulkano,Kap-3.3.2,kap,classnames,^2.2.6,dependencies
wulkano,Kap-3.3.2,kap,clean-stack,^3.0.0,dependencies
wulkano,Kap-3.3.2,kap,delay,^4.3.0,dependencies
wulkano,Kap-3.3.2,kap,electron-better-ipc,^1.0.1,dependencies
wulkano,Kap-3.3.2,kap,electron-log,^4.1.1,dependencies
wulkano,Kap-3.3.2,kap,electron-next,^3.1.5,dependencies
wulkano,Kap-3.3.2,kap,electron-notarize,^0.3.0,dependencies
wulkano,Kap-3.3.2,kap,electron-store,^5.1.1,dependencies
wulkano,Kap-3.3.2,kap,electron-updater,^4.3.1,dependencies
wulkano,Kap-3.3.2,kap,electron-util,^0.14.1,dependencies
wulkano,Kap-3.3.2,kap,ensure-error,^2.0.0,dependencies
wulkano,Kap-3.3.2,kap,execa,4.0.0,dependencies
wulkano,Kap-3.3.2,kap,file-icon,^3.0.0,dependencies
wulkano,Kap-3.3.2,kap,gifsicle,^5.0.0,dependencies
wulkano,Kap-3.3.2,kap,got,^9.6.0,dependencies
wulkano,Kap-3.3.2,kap,insight,^0.10.3,dependencies
wulkano,Kap-3.3.2,kap,is-online,^8.4.0,dependencies
wulkano,Kap-3.3.2,kap,lodash,^4.17.15,dependencies
wulkano,Kap-3.3.2,kap,mac-open-with,^1.2.3,dependencies
wulkano,Kap-3.3.2,kap,mac-screen-capture-permissions,^1.1.0,dependencies
wulkano,Kap-3.3.2,kap,mac-windows,^0.7.1,dependencies
wulkano,Kap-3.3.2,kap,macos-audio-devices,^1.3.2,dependencies
wulkano,Kap-3.3.2,kap,macos-release,^2.4.0,dependencies
wulkano,Kap-3.3.2,kap,macos-version,^5.2.0,dependencies
wulkano,Kap-3.3.2,kap,make-dir,^3.1.0,dependencies
wulkano,Kap-3.3.2,kap,moment,^2.24.0,dependencies
wulkano,Kap-3.3.2,kap,move-file=^2.0.0,dependencies
wulkano,Kap-3.3.2,kap,nearest-normal-aspect-ratio,^1.2.1,dependencies
wulkano,Kap-3.3.2,kap,node-mac-app-icon,^1.4.0,dependencies
wulkano,Kap-3.3.2,kap,p-cancelable,^2.0.0,dependencies
wulkano,Kap-3.3.2,kap,p-event,^4.1.0,dependencies
wulkano,Kap-3.3.2,kap,package-json,^6.5.0,dependencies
wulkano,Kap-3.3.2,kap,pify,^4.0.1,dependencies
wulkano,Kap-3.3.2,kap,plist,^3.0.1,dependencies
wulkano,Kap-3.3.2,kap,pretty-ms,^7.0.0,dependencies
wulkano,Kap-3.3.2,kap,prop-types,^15.7.2,dependencies
wulkano,Kap-3.3.2,kap,react,^16.13.1,dependencies
wulkano,Kap-3.3.2,kap,react-dom,^16.13.1,dependencies
wulkano,Kap-3.3.2,kap,react-linkify,^0.2.2,dependencies
wulkano,Kap-3.3.2,kap,read-pkg,^5.2.0,dependencies
wulkano,Kap-3.3.2,kap,semver,^7.3.2,dependencies
wulkano,Kap-3.3.2,kap,string-math,^1.2.1,dependencies
wulkano,Kap-3.3.2,kap,tempy,^0.5.0,dependencies
wulkano,Kap-3.3.2,kap,tildify,^2.0.0,dependencies
wulkano,Kap-3.3.2,kap,tmp,^0.2.0,dependencies
wulkano,Kap-3.3.2,kap,unstated,^1.2.0,dependencies
wulkano,Kap-3.3.2,kap,yarn,^1.22.4,dependencies
wulkano,Kap-3.3.2,kap,import/no-unassigned-import,off,dependencies
wulkano,Kap-3.3.2,kap,react/jsx-closing-tag-location,off,dependencies
wulkano,Kap-3.3.2,kap,react/require-default-props,off,dependencies
wulkano,Kap-3.3.2,kap,react/jsx-curly-brace-presence,off,dependencies
wulkano,Kap-3.3.2,kap,react/static-property-placement,off,dependencies
wulkano,Kap-3.3.2,kap,react/boolean-prop-naming,off,dependencies
wulkano,Kap-3.3.2,kap,unicorn/prefer-set-has,off,dependencies
wulkano,Kap-3.3.2,kap,ava/use-test,off,dependencies
jpillora,notifyjs-0.4.2,Notify.js,jshint,^2.8.0,devDependencies
